,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2890772,9192943,HW337525,06/27/2013 11:40:00 AM,083XX S STEWART AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,622,6.0,21.0,44.0,06,1175078.0,1849610.0,2013,02/04/2016 06:33:39 AM,41.742710224,-87.634088181,"(41.742710224, -87.634088181)"
2910603,9223253,HW369460,07/17/2013 12:01:00 AM,062XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,313,3.0,20.0,42.0,06,1179989.0,1863808.0,2013,02/04/2016 06:33:39 AM,41.781560138,-87.615660279,"(41.781560138, -87.615660279)"
3209679,9728257,HX377829,07/21/2014 12:01:00 AM,076XX S CALUMET AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,623,6.0,6.0,69.0,10,1179797.0,1854467.0,2014,02/04/2016 06:33:39 AM,41.755931858,-87.61664955,"(41.755931858, -87.61664955)"
2982067,9338132,HW482320,10/06/2013 07:30:00 AM,025XX S ALBANY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1033,10.0,12.0,30.0,05,1156101.0,1886969.0,2013,02/04/2016 06:33:39 AM,41.845630687,-87.702616447,"(41.845630687, -87.702616447)"
2533779,8624992,HV298549,05/22/2012 07:15:00 PM,059XX S MARSHFIELD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENTIAL YARD (FRONT/BACK),True,False,714,7.0,15.0,67.0,18,1166358.0,1865316.0,2012,02/04/2016 06:33:39 AM,41.785999601,-87.665591733,"(41.785999601, -87.665591733)"
3020104,9401180,HW543897,11/22/2013 01:00:00 PM,001XX N WABASH AVE,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,111,1.0,42.0,32.0,06,1176791.0,1901351.0,2013,02/04/2016 06:33:39 AM,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
2924719,9246285,HW391989,08/02/2013 07:30:00 PM,003XX N PINE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,1523,15.0,28.0,25.0,07,1139441.0,1901703.0,2013,02/04/2016 06:33:39 AM,41.886382272,-87.763398884,"(41.886382272, -87.763398884)"
2521973,8606311,HV279823,05/10/2012 09:10:00 AM,092XX S BISHOP ST,0810,THEFT,OVER $500,STREET,False,False,2222,22.0,21.0,73.0,06,1168287.0,1843507.0,2012,02/04/2016 06:33:39 AM,41.726111439,-87.659145706,"(41.726111439, -87.659145706)"
6222849,10800912,HZ571429,12/31/2016 03:31:00 PM,008XX S INDEPENDENCE BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1133,11.0,24.0,27.0,08B,1151390.0,1895995.0,2016,01/07/2017 03:56:13 PM,41.870492742,-87.719668746,"(41.870492742, -87.719668746)"
6152601,10695830,HZ451026,09/25/2016 07:00:00 PM,002XX N COLUMBUS DR,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,114,1.0,42.0,32.0,06,1178301.0,1901977.0,2016,10/02/2016 03:49:39 PM,41.886337253,-87.620687893,"(41.886337253, -87.620687893)"
3508219,10325795,HY516251,11/27/2015 07:45:00 AM,111XX S HOMEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2212,22.0,19.0,75.0,08B,1165468.0,1830707.0,2015,12/04/2015 03:56:18 PM,41.691046268,-87.669833228,"(41.691046268, -87.669833228)"
3037299,9429396,HW573483,12/16/2013 06:27:00 PM,011XX W 15TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,True,1232,12.0,25.0,28.0,26,1168935.0,1892896.0,2013,02/04/2016 06:33:39 AM,41.861626586,-87.655345221,"(41.861626586, -87.655345221)"
2430140,8458686,HV135839,01/28/2012 02:30:00 PM,073XX W IRVING PARK RD,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1631,16.0,36.0,17.0,08B,1126254.0,1925777.0,2012,02/04/2016 06:33:39 AM,41.952674653,-87.81128756,"(41.952674653, -87.81128756)"
3457997,10482416,HZ222351,04/11/2016 07:00:00 AM,020XX W FULTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1223,12.0,27.0,28.0,07,1162850.0,1902009.0,2016,04/18/2016 03:53:12 PM,41.886763155,-87.677426502,"(41.886763155, -87.677426502)"
